path,root,relative_path,parent,extension,size_bytes,modified_utc,sha256,tags,aida_score,simhash,text_token_count
C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\drive_oauth_test.html,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),drive_oauth_test.html,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),.html,5545,2026-06-30T01:26:37.903723+00:00,42410fe80ff1f921928dd129f95f3825b3bad16517f330b276291e74b64426fa,aida_candidate;code,2,4e1eae4a28d2aa95,555
C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\index - Copy - Copy.html,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),index - Copy - Copy.html,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),.html,13065,2026-06-30T01:26:37.905725+00:00,8ba371ee805474234afe8e017a7c7049008617b133723ce66507d86c14bb3c97,aida_candidate;code;legacy_or_archive;story_or_project_asset,6,0c7fec253d52cbc9,1670
C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\index-mobile.html,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),index-mobile.html,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),.html,17392,2026-08-02T15:52:02.510068+00:00,526207f2d85922f3b8cdfe03b38eee08e500675f7b4c102d51cfa3acaed37b6e,aida_candidate;code;legacy_or_archive,5,4c1eec1929bacbf8,1979
C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\index.html,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),index.html,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),.html,13411,2026-08-02T15:51:50.221471+00:00,ddfe17dc957594eacb27d7b5c9e19b12d6306bd9754d409da347758bd52f348f,aida_candidate;code;legacy_or_archive;story_or_project_asset,6,0c7fec213d52cbc8,1713
C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\README.md,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),README.md,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),.md,1733,2026-08-02T16:06:24.818871+00:00,151b5a4142e2b3bfeab75994e89852103a09575f46a4257e9cfc2e7affd641a8,aida_candidate;legacy_or_archive;notes_or_guidance,3,1edf0bea99f502f2,247
C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\AIDA-Pre llm cross cont fix\LLM_MEMORY_FIREWALL_IMPLEMENTATION_PLAN_2026-07-17.md,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),AIDA-Pre llm cross cont fix\LLM_MEMORY_FIREWALL_IMPLEMENTATION_PLAN_2026-07-17.md,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\AIDA-Pre llm cross cont fix,.md,15196,2026-07-17T19:05:07.653462+00:00,cabf7b1ce29778e9c5adf97daadf2bc009c7b6e178b726107a6e959ef3b1b5a1,aida_candidate;legacy_or_archive;notes_or_guidance;story_or_project_asset,4,5fd3f85198cd523a,1751
C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\AIDA-Pre llm cross cont fix\llm_messages.js,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),AIDA-Pre llm cross cont fix\llm_messages.js,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\AIDA-Pre llm cross cont fix,.js,6152,2026-07-11T21:01:17.226008+00:00,44673c4e8fc8b238feffb25e8f19b725c397a8913eac2ed6b7eae5346713b066,aida_candidate;code;legacy_or_archive;story_or_project_asset,3,efdf1a03a1cf726a,432
C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\AIDA-Pre llm cross cont fix\project_context.js,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),AIDA-Pre llm cross cont fix\project_context.js,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\AIDA-Pre llm cross cont fix,.js,79536,2026-07-06T15:05:39.359264+00:00,82d3165612bacadad34e6d428e25c0cfcfae8e7e22e64507aff6f3706f672be4,aida_candidate;code;legacy_or_archive,4,8f58ba158ecdd298,7086
C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\body\awake.css,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),body\awake.css,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\body,.css,25251,2026-08-02T15:51:48.581653+00:00,4b5d36ccea6c0fceeb36db6c5a1ab8f34a822337d64afec86f461e3d931c5635,aida_candidate;code;legacy_or_archive;standalone_version_candidate;story_or_project_asset,3,c0e09b8a47dbdabd,3164
C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\body\awake.js,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git),body\awake.js,C:\Users\arist\OneDrive\Documents\GitHub\Aida_mobile\AIDA_NEXT(Git)\body,.js,54752,2026-08-02T15:18:25.282826+00:00,99764591f14e4123b2e27eea67052659962b7bcfc66b36afb6bde9b676c0a3fe,aida_candidate;code;legacy_or_archive;standalone_version_candidate,4,ce0aaa418c4c3248,5158
